,EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,OCCGROUP,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,PWDALLCOUNT,VISMINALLCOUNT
346105,"Parrish & Heimbecker, Limited",2018,Full-Time,Provincial,Ontario,Overall,146,114,32,3,4,4
346150,"Parrish & Heimbecker, Limited",2018,Full-Time,Provincial,Manitoba,Overall,155,84,71,3,4,16
346195,"Parrish & Heimbecker, Limited",2018,Full-Time,Provincial,Saskatchewan,Overall,182,139,43,6,2,13
346286,"Parrish & Heimbecker, Limited",2018,Part-Time,Provincial,Ontario,Overall,10,9,1,0,0,0
346295,"Parrish & Heimbecker, Limited",2018,Part-Time,Provincial,Manitoba,Overall,8,5,3,0,0,1
346312,"Parrish & Heimbecker, Limited",2018,Part-Time,Provincial,Saskatchewan,Overall,7,5,2,0,0,0
346379,Paterson GlobalFoods Inc.,2018,Full-Time,Provincial,Manitoba,Overall,235,163,72,15,6,22
346478,Paterson GlobalFoods Inc.,2018,Part-Time,Provincial,Manitoba,Overall,4,2,2,0,0,0
346533,Paul's Hauling Ltd.,2018,Full-Time,Provincial,Manitoba,Overall,192,169,23,10,1,12
346608,Paul's Hauling Ltd.,2018,Part-Time,Provincial,Manitoba,Overall,8,7,1,1,0,0
346659,Pelmorex Corp.,2018,Full-Time,Provincial,Ontario,Overall,260,138,122,2,9,60
346750,Pelmorex Corp.,2018,Part-Time,Provincial,Ontario,Overall,46,32,14,0,3,14
346829,Pembina Pipeline Corporation,2018,Full-Time,Provincial,Alberta,Overall,1747,1226,521,68,13,197
346961,Pembina Pipeline Corporation,2018,Part-Time,Provincial,Alberta,Overall,42,19,23,1,1,10
347028,Penske Logistics LLC,2018,Full-Time,Provincial,Ontario,Overall,661,571,90,8,7,43
347078,Penske Logistics LLC,2018,Part-Time,Provincial,Ontario,Overall,1,1,0,0,0,0
347136,Perimeter Aviation LP,2018,Full-Time,Provincial,Ontario,Overall,171,118,53,13,3,17
347181,Perimeter Aviation LP,2018,Full-Time,Provincial,Manitoba,Overall,536,397,139,109,18,82
347312,Perimeter Aviation LP,2018,Part-Time,Provincial,Ontario,Overall,47,11,36,9,2,1
347329,Perimeter Aviation LP,2018,Part-Time,Provincial,Manitoba,Overall,21,14,7,4,0,2
347437,Polaris Transport Carriers Inc.,2018,Full-Time,Provincial,Ontario,Overall,112,63,49,0,0,56
347500,Polaris Transport Carriers Inc.,2018,Part-Time,Provincial,Ontario,Overall,2,2,0,0,0,1
347543,Pole Star Transport Incorporated,2018,Full-Time,Provincial,Nova Scotia,Overall,226,222,4,3,16,11
347564,Pole Star Transport Incorporated,2018,Full-Time,Provincial,New Brunswick,Overall,144,132,12,0,11,0
347619,Pole Star Transport Incorporated,2018,Part-Time,Provincial,Nova Scotia,Overall,15,15,0,0,1,0
347624,Pole Star Transport Incorporated,2018,Part-Time,Provincial,New Brunswick,Overall,5,5,0,0,0,0
347675,Polymer Distribution Inc.,2018,Full-Time,Provincial,Ontario,Overall,113,82,31,2,3,7
347733,Polymer Distribution Inc.,2018,Part-Time,Provincial,Ontario,Overall,6,6,0,0,0,1
347779,Portage Transport Inc.,2018,Full-Time,Provincial,Manitoba,Overall,98,78,20,4,0,16
347821,Portage Transport Inc.,2018,Part-Time,Provincial,Manitoba,Overall,5,5,0,0,0,0
347875,Porter Airlines Inc.,2018,Full-Time,Provincial,Ontario,Overall,1090,634,456,10,60,269
347920,Porter Airlines Inc.,2018,Full-Time,Provincial,Nova Scotia,Overall,97,48,49,3,4,6
348048,Porter Airlines Inc.,2018,Part-Time,Provincial,Ontario,Overall,214,95,119,2,5,45
348081,Porter Airlines Inc.,2018,Part-Time,Provincial,Nova Scotia,Overall,23,15,8,1,4,0
348177,Premier Aviation Quebec inc.,2018,Full-Time,Provincial,Québec,Overall,113,102,11,5,0,13
348227,Premier Aviation Quebec inc.,2018,Part-Time,Provincial,Québec,Overall,2,1,1,0,0,0
348257,Presidents Choice Bank,2018,Full-Time,Provincial,Ontario,Overall,216,116,100,4,3,116
348381,Primus Management ULC.,2018,Full-Time,Provincial,Ontario,Overall,184,118,66,2,4,80
348422,Primus Management ULC.,2018,Full-Time,Provincial,New Brunswick,Overall,97,25,72,0,3,7
348501,Primus Management ULC.,2018,Part-Time,Provincial,Ontario,Overall,1,1,0,0,0,1
348506,Primus Management ULC.,2018,Part-Time,Provincial,New Brunswick,Overall,3,0,3,0,0,1
348573,Prince Rupert Grain Ltd.,2018,Full-Time,Provincial,British Columbia,Overall,132,110,22,25,2,18
348679,Provincial Aerospace Ltd.,2018,Full-Time,Provincial,Nova Scotia,Overall,122,99,23,0,0,6
